IPs,milliseconds,PUTs,actualIPs,actualPUTs
8,105300,122,8,13
12,138200,217,6,26
12,177765,374,5,27
11,85398,130,4,6
13,677504,1246,5,387
3,11072,22,1,13
1,69,1,0,0
14,922153,1896,6,386
3,5823,11,2,2
9,152709,255,3,16
12,2278280,632,5,176
14,975488,719,11,34
14,768053,601,5,79
19,672881,1548,11,364
11,84244,173,4,4
6,9158,21,1,1
3,2105,5,1,1
4,4158,8,0,0
13,967751,1622,6,225
3,18107,19,2,2
10,152530,232,4,59
3,44293,91,1,58
6,116013,222,2,115
4,39647,44,2,3
1,1104,2,1,1
6,68287,13,3,4
12,838999,1341,9,506
9,156284,208,5,18
6,480185,582,1,96
11,1055811,538,4,57
24,3735106,696,17,87
26,4980180,1192,21,305
13,2266490,639,10,58
2,27979,36,2,4
7,1436328,140,6,14
5,3703581,127,5,31
